"zybook_identifier","chapter_number","chapter_title","section_number","section_title","classification","target_week_topic","reason","prerequisite_dependency"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.1","1.1 Programming (general)","KEEP","Week 1: foundations","Required conceptual path aligned to the existing Coding Odyssey sequence.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.2","1.2 Programming using Python","KEEP","Week 1: foundations","Required conceptual path aligned to the existing Coding Odyssey sequence.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.3","1.3 Basic input and output","KEEP","Week 1: foundations","Required conceptual path aligned to the existing Coding Odyssey sequence.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.4","1.4 Errors","KEEP","Week 1: foundations","Required conceptual path aligned to the existing Coding Odyssey sequence.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.5","1.5 Integrated development environment","KEEP","Week 1: foundations","Required conceptual path aligned to the existing Coding Odyssey sequence.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.6","1.6 Computers and programs (general)","KEEP","Week 1: foundations","Required conceptual path aligned to the existing Coding Odyssey sequence.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.7","1.7 Computer tour","KEEP","Week 1: foundations","Required conceptual path aligned to the existing Coding Odyssey sequence.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.8","1.8 Language history","KEEP","Week 1: foundations","Required conceptual path aligned to the existing Coding Odyssey sequence.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.9","1.9 Why whitespace and precision matter","KEEP","Week 1: foundations","Required conceptual path aligned to the existing Coding Odyssey sequence.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.10","1.10 Python example: Salary calculation","KEEP","Week 1: foundations","Required conceptual path aligned to the existing Coding Odyssey sequence.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.11","1.11 Additional practice: Output art","OPTIONAL","Week 1: foundations","Useful practice or extension; preserve choice and protect the required-path workload.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.12","1.12 zyLab training: Basics","KEEP","Week 1: foundations","Required conceptual path aligned to the existing Coding Odyssey sequence.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.13","1.13 zyLab training: Interactive console","KEEP","Week 1: foundations","Required conceptual path aligned to the existing Coding Odyssey sequence.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.14","1.14 zyLab training*: One large program","KEEP","Week 1: foundations","Required conceptual path aligned to the existing Coding Odyssey sequence.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.15","1.15 LAB: Formatted output: Hello World!","OPTIONAL","Week 1: foundations","Useful practice or extension; preserve choice and protect the required-path workload.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.16","1.16 LAB: Formatted output: No parking sign","OPTIONAL","Week 1: foundations","Useful practice or extension; preserve choice and protect the required-path workload.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.17","1.17 LAB: Input: Welcome message","OPTIONAL","Week 1: foundations","Useful practice or extension; preserve choice and protect the required-path workload.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.18","1.18 LAB: Input: Mad Lib","OPTIONAL","Week 1: foundations","Useful practice or extension; preserve choice and protect the required-path workload.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.19","1.19 zyLab training: Output format errors in Pluto.py","KEEP","Week 1: foundations","Required conceptual path aligned to the existing Coding Odyssey sequence.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.20","1.20 zyLab training: Logic errors in Kite.py","KEEP","Week 1: foundations","Required conceptual path aligned to the existing Coding Odyssey sequence.","None"
"SWOSUCOMSC1033Fall2026","1","1. Introduction to Python","1.21","1.21 zyLab training: Syntax errors in Baseball.py","KEEP","Week 1: foundations","Required conceptual path aligned to the existing Coding Odyssey sequence.","None"
"SWOSUCOMSC1033Fall2026","2","2. Variables and Expressions","2.1","2.1 Variables and assignments","KEEP","Week 2: variables and expressions","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","2","2. Variables and Expressions","2.2","2.2 Identifiers","KEEP","Week 2: variables and expressions","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","2","2. Variables and Expressions","2.3","2.3 Objects","KEEP","Week 2: variables and expressions","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","2","2. Variables and Expressions","2.4","2.4 Numeric types: Floating-point","KEEP","Week 2: variables and expressions","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","2","2. Variables and Expressions","2.5","2.5 Arithmetic expressions","KEEP","Week 2: variables and expressions","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","2","2. Variables and Expressions","2.6","2.6 Python expressions","KEEP","Week 2: variables and expressions","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","2","2. Variables and Expressions","2.7","2.7 Division and modulo","KEEP","Week 2: variables and expressions","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","2","2. Variables and Expressions","2.8","2.8 Module basics","KEEP","Week 2: variables and expressions","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","2","2. Variables and Expressions","2.9","2.9 Math module","KEEP","Week 2: variables and expressions","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","2","2. Variables and Expressions","2.10","2.10 Random numbers","KEEP","Week 2: variables and expressions","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","2","2. Variables and Expressions","2.11","2.11 Representing text","KEEP","Week 2: variables and expressions","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","2","2. Variables and Expressions","2.12","2.12 Style guidelines","KEEP","Week 2: variables and expressions","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","2","2. Variables and Expressions","2.13","2.13 Additional practice: Number games","OPTIONAL","Week 2: variables and expressions","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","2","2. Variables and Expressions","2.14","2.14 LAB: Divide input integers","OPTIONAL","Week 2: variables and expressions","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","2","2. Variables and Expressions","2.15","2.15 LAB: Driving costs","OPTIONAL","Week 2: variables and expressions","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","2","2. Variables and Expressions","2.16","2.16 LAB: Expression for calories burned during workout","OPTIONAL","Week 2: variables and expressions","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","2","2. Variables and Expressions","2.17","2.17 LAB: Using math functions","OPTIONAL","Week 2: variables and expressions","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","2","2. Variables and Expressions","2.18","2.18 LAB: Musical note frequencies","OPTIONAL","Week 2: variables and expressions","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","2","2. Variables and Expressions","2.19","2.19 LAB: Convert to dollars","OPTIONAL","Week 2: variables and expressions","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","3","3. Types","3.1","3.1 String basics","KEEP","Week 3: types and conversion","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","3","3. Types","3.2","3.2 List basics","KEEP","Week 3: types and conversion","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","3","3. Types","3.3","3.3 Tuple basics","KEEP","Week 3: types and conversion","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","3","3. Types","3.4","3.4 Set basics","KEEP","Week 3: types and conversion","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","3","3. Types","3.5","3.5 Dictionary basics","KEEP","Week 3: types and conversion","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","3","3. Types","3.6","3.6 Common data types summary","KEEP","Week 3: types and conversion","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","3","3. Types","3.7","3.7 Additional practice: Grade calculation","OPTIONAL","Week 3: types and conversion","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","3","3. Types","3.8","3.8 Type conversions","KEEP","Week 3: types and conversion","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","3","3. Types","3.9","3.9 Binary numbers","KEEP","Week 3: types and conversion","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","3","3. Types","3.10","3.10 String formatting","KEEP","Week 3: types and conversion","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","3","3. Types","3.11","3.11 Additional practice: Health data","OPTIONAL","Week 3: types and conversion","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","3","3. Types","3.12","3.12 LAB: List basics","OPTIONAL","Week 3: types and conversion","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","3","3. Types","3.13","3.13 LAB: Set basics","OPTIONAL","Week 3: types and conversion","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","3","3. Types","3.14","3.14 LAB: Input and formatted output: Right-facing arrow","OPTIONAL","Week 3: types and conversion","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","3","3. Types","3.15","3.15 LAB: Phone number breakdown","OPTIONAL","Week 3: types and conversion","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","3","3. Types","3.16","3.16 LAB: Simple statistics","OPTIONAL","Week 3: types and conversion","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","4","4. Branching","4.1","4.1 If-else branches (general)","KEEP","Week 4: branching","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","4","4. Branching","4.2","4.2 Detecting equal values with branches","KEEP","Week 4: branching","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","4","4. Branching","4.3","4.3 Detecting ranges with branches (general)","KEEP","Week 4: branching","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","4","4. Branching","4.4","4.4 Detecting ranges with branches","KEEP","Week 4: branching","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","4","4. Branching","4.5","4.5 Detecting ranges using logical operators","KEEP","Week 4: branching","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","4","4. Branching","4.6","4.6 Detecting ranges with gaps","KEEP","Week 4: branching","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","4","4. Branching","4.7","4.7 Detecting multiple features with branches","KEEP","Week 4: branching","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","4","4. Branching","4.8","4.8 Comparing data types and common errors","KEEP","Week 4: branching","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","4","4. Branching","4.9","4.9 Membership and identity operators","KEEP","Week 4: branching","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","4","4. Branching","4.10","4.10 Order of evaluation","KEEP","Week 4: branching","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","4","4. Branching","4.11","4.11 Code blocks and indentation","KEEP","Week 4: branching","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","4","4. Branching","4.12","4.12 Conditional expressions","KEEP","Week 4: branching","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","4","4. Branching","4.13","4.13 Additional practice: Abbreviation decoder","OPTIONAL","Week 4: branching","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","4","4. Branching","4.14","4.14 LAB: Smallest number","OPTIONAL","Week 4: branching","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","4","4. Branching","4.15","4.15 LAB: Interstate highway numbers","OPTIONAL","Week 4: branching","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","4","4. Branching","4.16","4.16 LAB: Seasons","OPTIONAL","Week 4: branching","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","4","4. Branching","4.17","4.17 LAB: Exact change","OPTIONAL","Week 4: branching","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","4","4. Branching","4.18","4.18 LAB: Leap year","OPTIONAL","Week 4: branching","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","4","4. Branching","4.19","4.19 LAB: Golf scores","OPTIONAL","Week 4: branching","Useful practice or extension; preserve choice and protect the required-path workload.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","5","5. Loops","5.1","5.1 Loops (general)","KEEP","Weeks 5-6: loops","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
"SWOSUCOMSC1033Fall2026","5","5. Loops","5.2","5.2 While loops","KEEP","Weeks 5-6: loops","Required conceptual path aligned to the existing Coding Odyssey sequence.","Prior required chapter concepts"
